number,id,action,name,quadrant,spaces,worker_cube,card_action,r1_max_cost,r1_sheep,r1_tools,r2_max_cost,r2_sheep,r2_tools,r3_max_cost,r3_sheep,r3_tools,r4_max_cost,r4_sheep,r4_tools,r5_max_cost,r5_sheep,r5_tools,r6_max_cost,r6_sheep,r6_tools
30,11-2,11,Small Trade,3,3,,,,,,1,0,,2,2,,1,2,,3,3,yes,,,
31,11-3,11,Small Trade,3,3,yes,,,,,2,2,yes,1,3,,3,3,,3,3,yes,3,3,
32,12-1,12,Cultivation,3,3,,,1,0,yes,1,2,,1,0,yes,2,2,yes,,,,,,
33,12-2,12,Cultivation,3,3,,,,,,2,2,,,,,,,,3,2,yes,,,
34,12-3,12,Cultivation,3,3,yes,,1,1,yes,,,,,,,2,2,,,,,1,2,
35,13-1,13,Weekly Market,3,3,,,,,,,,,1,2,yes,3,2,,2,2,,3,3,
36,13-2,13,Weekly Market,3,3,yes,,,,,3,0,,3,2,,3,3,yes,,,,3,3,yes
37,13-3,13,Weekly Market,3,3,,,1,0,,1,2,yes,2,3,yes,3,1,yes,3,3,yes,3,2,yes
38,14-1,14,Land Sale,3,3,,,,,,1,1,yes,1,0,yes,1,3,yes,,,,3,3,yes
39,14-2,14,Land Sale,3,3,,,,,,1,2,yes,3,0,,3,3,,3,2,yes,,,
40,14-3,14,Land Sale,3,3,yes,,2,0,yes,3,1,yes,3,2,,,,,3,2,yes,3,3,
41,15-1,15,Bonus Card,3,2,,yes,1,1,,,,,2,2,yes,1,3,yes,,,,2,3,yes
42,15-2,15,Bonus Card,3,2,,yes,1,1,,1,1,,1,2,yes,,,,,,,,,
43,16-1,16,Fertilizing,4,3,,,1,0,,1,0,yes,2,3,,1,3,,3,2,yes,1,3,
44,16-2,16,Fertilizing,4,3,,,,,,2,2,yes,1,0,yes,2,3,,3,3,,3,2,
45,16-3,16,Fertilizing,4,3,,,1,0,,,,,2,1,,1,1,,3,3,,3,3,yes
46,17-1,17,Tool Shed,4,3,,,1,0,,1,1,,,,,3,2,yes,2,3,yes,3,3,
47,17-2,17,Tool Shed,4,3,,,2,1,yes,1,1,yes,1,2,,3,3,yes,3,3,,3,3,yes
48,17-3,17,Tool Shed,4,3,,,,,,1,0,,2,1,yes,2,2,yes,2,3,yes,3,3,
49,18-1,18,Town Hall,4,3,yes,,,,,3,0,,2,3,yes,3,3,,,,,3,3,
50,18-2,18,Town Hall,4,3,yes,,,,,2,2,,,,,3,3,,3,3,,,,
51,18-3,18,Town Hall,4,3,yes,,,,,2,1,yes,2,1,yes,,,,3,2,,,,
52,19-1,19,Sheep Market,4,3,,,1,1,yes,1,2,,3,3,yes,1,2,,3,3,,3,2,
53,19-2,19,Sheep Market,4,3,yes,,1,0,,1,0,,2,2,yes,1,2,yes,,,,,,
54,19-3,19,Sheep Market,4,3,,,,,,,,,2,2,,3,1,yes,3,2,yes,3,3,yes
55,20-1,20,Point Card,4,2,,yes,,,,,,,,,,,,,2,3,yes,2,2,yes
56,20-2,20,Point Card,4,2,yes,yes,,,,,,,,,,1,2,,,,,2,3,yes
